level_0,index,Product Name,Description,Reviewer Name,Review Title,Review,Date,Rating,Verified Purchase,Helpful Votes,compound_df_import,positive_df_import,negative_df_import,neutral_sentiment_df_import,anger_df_import,disgust_df_import,fear_df_import,joy_df_import,neutral_df_import,sadness_df_import,surprise_df_import,compound_df_reviews,positive_df_reviews,negative_df_reviews,neutral_sentiment_df_reviews,anger_df_emotions,disgust_df_emotions,fear_df_emotions,joy_df_emotions,neutral_df_emotions,sadness_df_emotions,surprise_df_emotions
0,0,"ConvaTec ESENTA Adhesive Remover Spray for Around Stomas and Wounds, Sting Free, Alcohol Free, 50 mL Bottle (Pack of 1)","The new ESENTA Sting-Free Adhesive Remover is a skin-friendly, quick, and easy way to get rid of the adhesive residue that often gets left behind during ostomy pouch changes. ConvaTec ESENTA Sting Free Adhesive Remover is available in two options: spray can or individual wipes. Formerly known as Sensi-Care, the 100% silicone-based ESENTA Adhesive Remover helps reduce potential skin damage like skin-stripping while quickly removing all remaining adhesive residue. It's made without natural rubber latex, which makes it ideal for those with latex allergies or sensitivities. Plus, your skin will feel silky and smooth with no residue left behind, whether you use the ESENTA Sting-Free Adhesive Remover Spray or the ESENTA Sting-Free Adhesive Remover Wipes.",Kindle Customer,Helps but is not the best.,Still painful for my daughter's Dexcom and Omnipod changes but better than nothing. Can doesn't last long.We like Uni-solve better.,9/24/2024,3.0,Yes,0,0.623,0.272,0.163,0.565,0.0020420176442712,0.0083726905286312,0.0066654086112976,0.0028125308454036,0.0207615569233894,0.9531081318855286,0.0062375883571803,0.623,0.272,0.163,0.565,0.00204201671294868,0.008372701704502106,0.006665427703410387,0.0028125285170972347,0.02076159231364727,0.9531081318855286,0.006237588357180357
1,1,"ConvaTec ESENTA Adhesive Remover Spray for Around Stomas and Wounds, Sting Free, Alcohol Free, 50 mL Bottle (Pack of 1)","The new ESENTA Sting-Free Adhesive Remover is a skin-friendly, quick, and easy way to get rid of the adhesive residue that often gets left behind during ostomy pouch changes. ConvaTec ESENTA Sting Free Adhesive Remover is available in two options: spray can or individual wipes. Formerly known as Sensi-Care, the 100% silicone-based ESENTA Adhesive Remover helps reduce potential skin damage like skin-stripping while quickly removing all remaining adhesive residue. It's made without natural rubber latex, which makes it ideal for those with latex allergies or sensitivities. Plus, your skin will feel silky and smooth with no residue left behind, whether you use the ESENTA Sting-Free Adhesive Remover Spray or the ESENTA Sting-Free Adhesive Remover Wipes.",Tonya,Good stuff,Will not purchase again good but over priced,12/25/2023,3.0,Yes,0,-0.1786,0.0,0.196,0.804,0.0062628826126456,0.0043965354561805,0.0019874796271324,0.0016607129946351,0.0254825223237276,0.9502700567245485,0.009939725510776,-0.1786,0.0,0.196,0.804,0.006262883078306913,0.004396538250148296,0.00198747799731791,0.0016607139259576797,0.025482501834630966,0.9502701759338379,0.009939717128872871
2,2,"ConvaTec ESENTA Adhesive Remover Spray for Around Stomas and Wounds, Sting Free, Alcohol Free, 50 mL Bottle (Pack of 1)","The new ESENTA Sting-Free Adhesive Remover is a skin-friendly, quick, and easy way to get rid of the adhesive residue that often gets left behind during ostomy pouch changes. ConvaTec ESENTA Sting Free Adhesive Remover is available in two options: spray can or individual wipes. Formerly known as Sensi-Care, the 100% silicone-based ESENTA Adhesive Remover helps reduce potential skin damage like skin-stripping while quickly removing all remaining adhesive residue. It's made without natural rubber latex, which makes it ideal for those with latex allergies or sensitivities. Plus, your skin will feel silky and smooth with no residue left behind, whether you use the ESENTA Sting-Free Adhesive Remover Spray or the ESENTA Sting-Free Adhesive Remover Wipes.",BW,Total Waste Of Money!,"My son is T1 diabetic.  He wears an insulin pump & dexcom. We have been an avid user of Unisolve for years to remove his sites but since Unisolve has been discontinued, I’ve been on the hunt for a new adhesive remover. THIS IS NOT IT!! Extremely expensive for such a little bottle, especially given it does not work. If it worked, I wouldn’t mind the price. Today is pump site change day. Sprayed on his old site area. Waited 5 minutes. Nothing. Sprayed more. Waited 5 more minutes. Nothing. Sprayed more. Waited 5 more mins. Nothing. Total of 30mins waiting. It was like I was spraying water on his old site, it did absolutely nothing to the adhesive left on his skin. Total waste money!!! Save yourself the money & headache, this product is useless.",11/26/2023,1.0,Yes,0,0.4438,0.074,0.053,0.873,0.175556480884552,0.2284246981143951,0.0103632481768727,0.0039310469292104,0.2874045670032501,0.1097501069307327,0.1845698952674865,0.4438,0.074,0.053,0.873,0.17555642127990723,0.2284247726202011,0.010363234207034111,0.00393105112016201,0.28740474581718445,0.10975009202957153,0.18456974625587463
3,3,"ConvaTec ESENTA Adhesive Remover Spray for Around Stomas and Wounds, Sting Free, Alcohol Free, 50 mL Bottle (Pack of 1)","The new ESENTA Sting-Free Adhesive Remover is a skin-friendly, quick, and easy way to get rid of the adhesive residue that often gets left behind during ostomy pouch changes. ConvaTec ESENTA Sting Free Adhesive Remover is available in two options: spray can or individual wipes. Formerly known as Sensi-Care, the 100% silicone-based ESENTA Adhesive Remover helps reduce potential skin damage like skin-stripping while quickly removing all remaining adhesive residue. It's made without natural rubber latex, which makes it ideal for those with latex allergies or sensitivities. Plus, your skin will feel silky and smooth with no residue left behind, whether you use the ESENTA Sting-Free Adhesive Remover Spray or the ESENTA Sting-Free Adhesive Remover Wipes.",Travelhunter,Does not last very long; very expensive,Spray can to remove adhesive of ostomy appliances; very expensive and does not last long.  Disappointed.,10/16/2022,3.0,Yes,0,0.3724,0.145,0.0,0.855,0.0020346515811979,0.00474613904953,0.0016196629730984,0.0025133292656391,0.0149539355188608,0.9512891173362732,0.0228432789444923,0.3724,0.145,0.0,0.855,0.0020346520468592644,0.004746138118207455,0.0016196626238524914,0.002513332525268197,0.014953955076634884,0.9512888789176941,0.022843290120363235
4,4,"ConvaTec ESENTA Adhesive Remover Spray for Around Stomas and Wounds, Sting Free, Alcohol Free, 50 mL Bottle (Pack of 1)","The new ESENTA Sting-Free Adhesive Remover is a skin-friendly, quick, and easy way to get rid of the adhesive residue that often gets left behind during ostomy pouch changes. ConvaTec ESENTA Sting Free Adhesive Remover is available in two options: spray can or individual wipes. Formerly known as Sensi-Care, the 100% silicone-based ESENTA Adhesive Remover helps reduce potential skin damage like skin-stripping while quickly removing all remaining adhesive residue. It's made without natural rubber latex, which makes it ideal for those with latex allergies or sensitivities. Plus, your skin will feel silky and smooth with no residue left behind, whether you use the ESENTA Sting-Free Adhesive Remover Spray or the ESENTA Sting-Free Adhesive Remover Wipes.",Jan Rose 🌹,It’s okay,"Prefer other brands such as Sensi, this one works but not as good. Will not purchase again as it’s already pricey.",8/16/2022,3.0,Yes,0,-0.4782,0.0,0.135,0.865,0.0100379614159464,0.0387041419744491,0.0033626868389546,0.0059161847457289,0.7655254602432251,0.1667287349700927,0.0097248861566185,-0.4782,0.0,0.135,0.865,0.010037965141236782,0.03870413824915886,0.0033626863732934,0.005916178692132235,0.7655254006385803,0.16672882437705994,0.009724879637360573
5,5,"ConvaTec ESENTA Adhesive Remover Spray for Around Stomas and Wounds, Sting Free, Alcohol Free, 50 mL Bottle (Pack of 1)","The new ESENTA Sting-Free Adhesive Remover is a skin-friendly, quick, and easy way to get rid of the adhesive residue that often gets left behind during ostomy pouch changes. ConvaTec ESENTA Sting Free Adhesive Remover is available in two options: spray can or individual wipes. Formerly known as Sensi-Care, the 100% silicone-based ESENTA Adhesive Remover helps reduce potential skin damage like skin-stripping while quickly removing all remaining adhesive residue. It's made without natural rubber latex, which makes it ideal for those with latex allergies or sensitivities. Plus, your skin will feel silky and smooth with no residue left behind, whether you use the ESENTA Sting-Free Adhesive Remover Spray or the ESENTA Sting-Free Adhesive Remover Wipes.",Sandi,This does not work!,"This did nothing to remove adhesive on my skin.  Extremely expensive for the tiny amount.  Tried to return, but it’s ineligible for return or refund.",3/19/2024,1.0,Yes,0,0.0,0.0,0.0,1.0,0.0063472781330347,0.0081338454037904,0.0093628298491239,0.0038566428702324,0.065033420920372,0.8502114415168762,0.0570544563233852,0.0,0.0,0.0,1.0,0.00634726881980896,0.00813381839543581,0.009362820535898209,0.0038566389121115208,0.0650332123041153,0.8502117991447449,0.05705438554286957
6,6,"ConvaTec ESENTA Adhesive Remover Spray for Around Stomas and Wounds, Sting Free, Alcohol Free, 50 mL Bottle (Pack of 1)","The new ESENTA Sting-Free Adhesive Remover is a skin-friendly, quick, and easy way to get rid of the adhesive residue that often gets left behind during ostomy pouch changes. ConvaTec ESENTA Sting Free Adhesive Remover is available in two options: spray can or individual wipes. Formerly known as Sensi-Care, the 100% silicone-based ESENTA Adhesive Remover helps reduce potential skin damage like skin-stripping while quickly removing all remaining adhesive residue. It's made without natural rubber latex, which makes it ideal for those with latex allergies or sensitivities. Plus, your skin will feel silky and smooth with no residue left behind, whether you use the ESENTA Sting-Free Adhesive Remover Spray or the ESENTA Sting-Free Adhesive Remover Wipes.",Amazon Customer,Arrived empty,The bottle I ordered arrived completely empty.,1/26/2024,1.0,Yes,0,-0.2716,0.0,0.295,0.705,0.1867409646511078,0.2827245891094208,0.0121620623394846,0.0031936403829604,0.1201102435588836,0.2376859784126281,0.1573825627565384,-0.2716,0.0,0.295,0.705,0.18674108386039734,0.2827247977256775,0.012162075378000736,0.003193640150129795,0.12011025846004486,0.23768554627895355,0.1573825478553772
7,7,"ConvaTec ESENTA Adhesive Remover Spray for Around Stomas and Wounds, Sting Free, Alcohol Free, 50 mL Bottle (Pack of 1)","The new ESENTA Sting-Free Adhesive Remover is a skin-friendly, quick, and easy way to get rid of the adhesive residue that often gets left behind during ostomy pouch changes. ConvaTec ESENTA Sting Free Adhesive Remover is available in two options: spray can or individual wipes. Formerly known as Sensi-Care, the 100% silicone-based ESENTA Adhesive Remover helps reduce potential skin damage like skin-stripping while quickly removing all remaining adhesive residue. It's made without natural rubber latex, which makes it ideal for those with latex allergies or sensitivities. Plus, your skin will feel silky and smooth with no residue left behind, whether you use the ESENTA Sting-Free Adhesive Remover Spray or the ESENTA Sting-Free Adhesive Remover Wipes.",R,Only lasted 2 uses,"The product itself is great. I used this for removing k-tape and it literally came off in seconds. I just spray all over the tape, wait about 5-10 seconds, and then peel it off easily.The problem is the amount of product. It literally only lasted 2 uses. I was shocked because I don't feel like I used an excessive amount or anything. I received this product for free to write a review so I'm good, but for people who buy this I think it's way too expensive for how little you get in the container.Great product, but so not worth the money unless they provide a bigger size.",10/16/2022,2.0,No,0,0.0817,0.064,0.071,0.865,0.006727437954396,0.0058646565303206,0.0016436609439551,0.001617495669052,0.0094736739993095,0.0022486522793769,0.9724244475364684,0.0817,0.064,0.071,0.865,0.006727443542331457,0.005864658858627081,0.0016436607111245394,0.001617496949620545,0.009473676793277264,0.0022486576344817877,0.972424328327179
8,8,"ConvaTec ESENTA Adhesive Remover Spray for Around Stomas and Wounds, Sting Free, Alcohol Free, 50 mL Bottle (Pack of 1)","The new ESENTA Sting-Free Adhesive Remover is a skin-friendly, quick, and easy way to get rid of the adhesive residue that often gets left behind during ostomy pouch changes. ConvaTec ESENTA Sting Free Adhesive Remover is available in two options: spray can or individual wipes. Formerly known as Sensi-Care, the 100% silicone-based ESENTA Adhesive Remover helps reduce potential skin damage like skin-stripping while quickly removing all remaining adhesive residue. It's made without natural rubber latex, which makes it ideal for those with latex allergies or sensitivities. Plus, your skin will feel silky and smooth with no residue left behind, whether you use the ESENTA Sting-Free Adhesive Remover Spray or the ESENTA Sting-Free Adhesive Remover Wipes.",Christina Hagestad,Did not remove adhesive,I used this to try to remove adhesive and it didn’t work. Ended up using almost the whole bottle and did not work. Threw it away after.,10/17/2022,1.0,No,0,0.0,0.0,0.0,1.0,0.2950295507907867,0.2624591588973999,0.0083503229543566,0.0018849250627681,0.2099947482347488,0.1970841288566589,0.0251970905810594,0.0,0.0,0.0,1.0,0.29502955079078674,0.2624586522579193,0.008350317366421223,0.0018849223852157593,0.20999474823474884,0.1970847100019455,0.025197096168994904
9,9,"ConvaTec ESENTA Adhesive Remover Spray for Around Stomas and Wounds, Sting Free, Alcohol Free, 50 mL Bottle (Pack of 1)","The new ESENTA Sting-Free Adhesive Remover is a skin-friendly, quick, and easy way to get rid of the adhesive residue that often gets left behind during ostomy pouch changes. ConvaTec ESENTA Sting Free Adhesive Remover is available in two options: spray can or individual wipes. Formerly known as Sensi-Care, the 100% silicone-based ESENTA Adhesive Remover helps reduce potential skin damage like skin-stripping while quickly removing all remaining adhesive residue. It's made without natural rubber latex, which makes it ideal for those with latex allergies or sensitivities. Plus, your skin will feel silky and smooth with no residue left behind, whether you use the ESENTA Sting-Free Adhesive Remover Spray or the ESENTA Sting-Free Adhesive Remover Wipes.",Cliente Amazon,,"Muy caro, no dura nada y no facilita quitar el adhesivo más que el propio aceite de oliva.",6/23/2024,,Yes,0,-0.5267,0.0,0.227,0.773,0.0289215259253978,0.0625395104289054,0.0632854700088501,0.0156216388568282,0.7748091816902161,0.0205232016742229,0.034299436956644,-0.5267,0.0,0.227,0.773,0.028921514749526978,0.0625394731760025,0.06328543275594711,0.015621623955667019,0.7748092412948608,0.02052319049835205,0.03429943695664406
